Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Horford,38.0,BOS,C,11.0,9.0,31.6,3.1,6.5,0.472,1.3,3.2,0.4,1.8,3.4,0.541,0.569,0.5,0.6,0.857,1.6,4.4,6.0,1.8,0.6,1.3,0.6,2.7,8.0
Luguentz Dort,25.0,OKC,SF,23.0,23.0,29.0,2.6,7.1,0.366,2.1,6.1,0.343,0.5,1.0,0.5,0.512,0.6,1.0,0.636,1.4,2.5,3.9,0.9,1.3,0.4,0.9,3.3,7.9
Rudy Gobert,32.0,MIN,C,15.0,15.0,27.4,3.1,5.3,0.582,0.0,0.0,,3.1,5.3,0.582,0.582,1.7,3.3,0.52,3.1,5.5,8.6,0.7,0.5,1.2,0.9,2.5,7.9
Kristaps Porziņģis,29.0,BOS,C,11.0,7.0,21.0,2.3,7.2,0.316,0.4,2.4,0.154,1.9,4.8,0.396,0.342,2.8,4.1,0.689,1.9,2.7,4.6,0.7,0.9,0.8,0.9,2.4,7.7
Tari Eason,23.0,HOU,PF,7.0,0.0,18.9,3.0,6.3,0.477,1.0,2.7,0.368,2.0,3.6,0.56,0.557,0.6,1.1,0.5,1.0,3.3,4.3,0.7,1.1,1.0,1.4,1.9,7.6
Jabari Smith Jr.,21.0,HOU,PF,7.0,0.0,20.4,2.4,4.9,0.5,1.4,3.1,0.455,1.0,1.7,0.583,0.647,1.1,1.4,0.8,1.0,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4
Haywood Highsmith,28.0,MIA,SF,4.0,0.0,21.0,2.8,4.8,0.579,1.8,3.8,0.467,1.0,1.0,1.0,0.763,0.0,0.0,,1.0,2.3,3.3,1.0,0.8,0.5,1.0,2.8,7.3
Derrick Jones Jr.,27.0,LAC,SF,7.0,1.0,18.4,3.0,6.9,0.438,0.9,2.9,0.3,2.1,4.0,0.536,0.5,0.4,1.1,0.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3
Moses Moody,22.0,GSW,SG,12.0,2.0,16.1,2.3,6.7,0.35,1.3,3.8,0.333,1.1,2.9,0.371,0.444,1.2,1.4,0.824,0.8,1.4,2.2,1.2,0.5,0.3,0.3,1.3,7.1
Damian Lillard,34.0,MIL,PG,3.0,3.0,25.0,2.0,9.0,0.222,1.0,5.3,0.188,1.0,3.7,0.273,0.278,2.0,2.3,0.857,0.3,2.3,2.7,4.7,0.7,0.7,1.0,2.7,7.0
Bogdan Bogdanović,32.0,LAC,SG,7.0,0.0,16.7,2.3,6.3,0.364,1.0,3.4,0.292,1.3,2.9,0.45,0.443,0.9,1.0,0.857,0.7,2.1,2.9,2.1,0.4,0.0,1.6,3.6,6.4
