Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Miles McBride,25.0,NYK,SG,19.0,2.0,17.6,1.8,5.5,0.333,1.6,4.2,0.375,0.3,1.3,0.2,0.476,0.4,0.4,0.875,0.5,0.7,1.2,1.2,0.4,0.2,0.5,1.8,5.6
Luguentz Dort,26.0,OKC,SF,15.0,15.0,22.3,2.0,5.5,0.366,1.3,4.3,0.308,0.7,1.1,0.588,0.488,0.1,0.3,0.5,0.7,2.0,2.7,1.3,0.5,0.1,0.5,2.7,5.5
Dennis Schröder,32.0,CLE,PG,17.0,0.0,15.9,1.9,4.9,0.381,0.6,1.9,0.333,1.2,3.0,0.412,0.446,1.1,1.4,0.792,0.2,1.2,1.5,2.4,0.4,0.2,1.4,1.4,5.5
Buddy Hield,33.0,ATL,SG,2.0,0.0,6.5,2.0,2.5,0.8,1.0,1.0,1.0,1.0,1.5,0.667,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
Sandro Mamukelashvili,26.0,TOR,C,7.0,0.0,14.9,2.0,5.0,0.4,0.6,2.0,0.286,1.4,3.0,0.476,0.457,0.4,1.0,0.429,1.6,3.4,5.0,1.0,0.7,0.4,0.6,1.7,5.0
Zeke Nnaji,25.0,DEN,PF,2.0,0.0,9.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.25,2.5,3.0,0.833,0.5,1.0,1.5,0.5,0.5,0.0,0.0,1.5,5.0
Jordan Clarkson,33.0,NYK,SG,18.0,0.0,10.8,1.9,4.3,0.455,0.2,1.1,0.211,1.7,3.2,0.534,0.481,0.8,1.1,0.789,1.0,0.7,1.7,0.6,0.2,0.1,0.9,1.4,4.9
Jaylin Williams,23.0,OKC,PF,15.0,0.0,16.0,1.7,4.3,0.4,1.2,3.3,0.36,0.5,1.0,0.533,0.538,0.3,0.4,0.667,0.5,3.7,4.1,1.5,0.5,0.2,0.4,2.1,4.9
Jamison Battle,24.0,TOR,SF,6.0,0.0,11.8,1.8,3.2,0.579,1.2,1.8,0.636,0.7,1.3,0.5,0.763,0.0,0.0,,0.5,1.3,1.8,0.2,0.0,0.0,0.2,1.0,4.8
Isaiah Joe,26.0,OKC,SG,13.0,0.0,11.0,1.8,4.2,0.418,1.2,3.5,0.348,0.5,0.7,0.778,0.564,0.1,0.1,1.0,0.4,1.0,1.4,1.1,0.5,0.1,0.4,1.3,4.8
Josh Okogie,27.0,HOU,SG,6.0,2.0,17.3,1.8,4.2,0.44,0.8,2.2,0.385,1.0,2.0,0.5,0.54,0.3,0.3,1.0,1.0,1.3,2.3,0.8,1.2,0.0,0.5,2.0,4.8
Mitchell Robinson,27.0,NYK,C,18.0,0.0,13.9,1.9,2.9,0.673,0.0,0.0,,1.9,2.9,0.673,0.673,0.9,3.2,0.293,2.6,2.9,5.5,0.4,0.4,0.6,0.4,1.5,4.8
Jamal Cain,26.0,ORL,SF,7.0,3.0,17.6,1.7,4.1,0.414,0.4,1.7,0.25,1.3,2.4,0.529,0.466,0.7,1.6,0.455,1.0,2.4,3.4,0.6,0.3,0.4,0.7,2.0,4.6
Bones Hyland,25.0,MIN,PG,10.0,0.0,11.6,1.5,5.0,0.3,0.9,3.4,0.265,0.6,1.6,0.375,0.39,0.7,0.8,0.875,0.3,1.0,1.3,1.5,0.4,0.1,0.8,1.1,4.6
Marcus Sasser,25.0,DET,PG,6.0,0.0,10.2,1.8,3.8,0.478,0.8,2.3,0.357,1.0,1.5,0.667,0.587,0.0,0.0,,0.5,0.3,0.8,0.5,0.5,0.0,0.3,0.7,4.5
Mike Conley,38.0,MIN,PG,12.0,5.0,14.0,1.6,3.2,0.5,1.1,2.2,0.5,0.5,1.0,0.5,0.671,0.2,0.2,1.0,0.1,1.2,1.3,2.7,0.7,0.0,0.4,1.3,4.4
Luka Garza,27.0,BOS,C,7.0,1.0,8.4,1.4,2.9,0.5,0.6,1.9,0.308,0.9,1.0,0.857,0.6,1.0,1.1,0.875,1.0,0.7,1.7,0.9,0.0,0.1,0.1,2.0,4.4
Dean Wade,29.0,CLE,PF,18.0,14.0,22.6,1.7,3.6,0.462,1.0,2.7,0.375,0.7,0.9,0.706,0.6,0.1,0.2,0.333,1.3,2.6,3.9,0.8,0.7,0.1,0.6,1.2,4.4
Baylor Scheierman,25.0,BOS,SG,7.0,1.0,14.1,1.6,3.7,0.423,1.1,3.0,0.381,0.4,0.7,0.6,0.577,0.0,0.0,,1.0,1.9,2.9,0.6,0.9,0.1,0.3,1.1,4.3
Gabe Vincent,29.0,ATL,PG,6.0,0.0,15.5,1.3,3.7,0.364,1.0,3.0,0.333,0.3,0.7,0.5,0.5,0.7,0.8,0.8,0.5,0.0,0.5,1.2,0.3,0.2,0.5,1.7,4.3
Jose Alvarado,27.0,NYK,PG,18.0,0.0,9.4,1.6,3.7,0.433,0.7,1.9,0.353,0.9,1.8,0.515,0.522,0.3,0.3,0.833,0.1,1.3,1.4,1.2,0.6,0.1,0.6,1.2,4.2
Tristan Da Silva,24.0,ORL,SF,7.0,0.0,15.3,1.6,4.1,0.379,0.7,2.3,0.313,0.9,1.9,0.462,0.466,0.3,0.6,0.5,1.0,1.9,2.9,0.1,0.1,0.0,0.7,1.1,4.1
Jaylon Tyson,23.0,CLE,SG,17.0,0.0,12.7,1.5,4.1,0.362,0.5,2.2,0.237,0.9,1.8,0.516,0.428,0.6,0.9,0.667,0.8,2.0,2.8,1.3,0.2,0.1,0.6,1.5,4.1
Isaiah Stewart,24.0,DET,C,14.0,0.0,11.8,1.4,2.4,0.588,0.3,0.6,0.5,1.1,1.9,0.615,0.647,0.9,1.2,0.706,0.9,1.5,2.4,0.2,0.1,1.0,0.6,2.6,4.0
Andre Drummond,32.0,PHI,C,11.0,1.0,12.9,1.5,2.1,0.696,0.4,0.7,0.5,1.1,1.4,0.8,0.783,0.6,0.9,0.7,1.1,3.2,4.3,0.6,0.4,0.2,0.8,2.5,3.9
Luke Kornet,30.0,SAS,C,23.0,1.0,12.9,1.4,2.5,0.569,0.0,0.0,1.0,1.4,2.5,0.561,0.578,0.7,1.0,0.773,1.7,2.2,3.9,0.7,0.6,0.7,0.5,1.8,3.7
Zaccharie Risacher,20.0,ATL,SF,3.0,0.0,7.7,1.7,4.7,0.357,0.3,1.7,0.2,1.3,3.0,0.444,0.393,0.0,0.0,,1.3,1.7,3.0,0.0,0.0,0.0,0.0,0.7,3.7
Johni Broome,23.0,PHI,C,2.0,0.0,4.0,1.5,3.0,0.5,0.5,2.0,0.25,1.0,1.0,1.0,0.583,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,3.5
Tyler Kolek,24.0,NYK,PG,8.0,0.0,6.6,1.4,3.1,0.44,0.5,1.1,0.444,0.9,2.0,0.438,0.52,0.3,0.3,1.0,0.1,0.6,0.8,1.5,0.0,0.1,0.4,0.4,3.5
